# pairs_indfaints, pairs_indbrights
3870303,3870283
11402500,11402330
3716995,3716994
13576468,13576467
4805647,4789221
4727556,4727553
3779235,3779300
13698937,13697894
13729930,13729999
13667349,13667313
13602992,13602997
5013073,5013078
4777406,4777452
1202671,1202631
3027803,3027801
4639439,4639446
5895198,5895192
5417842,5417730
5896882,5896885
6661475,6661476
3605782,3605819
4057216,4057177
3214445,3214463
3653295,3653301
13861307,13860808
568279,568201
5130491,5130497
4067329,4067324
10328338,10328342
3886849,3886829
10930952,10930954
6394530,6394519
4361945,4361955
5579665,5579673
2488417,2488420
3597442,3597435
1389938,1355116
13664861,13664869
12216043,12216041
3759577,3759580
3678545,3524646
13663687,13663560
4802677,4802665
4721541,4721639
4534651,4534650
2513924,2513930
11549456,11549411
4056342,4056350
4941925,4941932
3221133,3221135
2940024,2936856
10739865,10739856
4211830,4211833
2861531,2861537
13766918,13766916
5009630,5009640
4279941,4279951
12307014,12306978
9505134,9505120
13592682,13592644
3805183,3805614
4835751,4835748
4312575,4312565
13625726,13625697
5472192,5471867
4545652,4545637
1982205,1982216
13742953,13742929
2210980,2221059
6252978,6252985
6329577,6329547
13568968,13568929
12734305,12734250
10593501,10593492
3060823,3060819
4284201,4284204
4515577,4515569
5392301,5388085
4689496,4689501
6135582,6135594
10527079,10526933
3877519,3877531
5443384,5443423
13805918,13805881
5413556,5413543
3958016,3958006
3875127,3875129
4434262,4434254
12319849,12319852
10569909,10569856
3954926,3954902
11441234,11441236
5947342,5947271
3606336,3606362
4727993,4727985
6699104,6699131
11372002,11372105
9720771,9720773
5387899,5387904
3636930,3636928
13959073,13959094
3583328,3583338
4605476,4605478
13662764,13662736
13607253,13599830
5793840,5789182
6341782,6341794
5894849,5894844
3785673,3785675
12622877,12622891
13812324,13812337
4415553,4415236
3991391,3991386
10514896,10514898
3621226,3621427
5499707,5499673
13747328,13747346
5730923,5730931
2081665,2081653
13647131,13647163
6521156,6521092
2070621,2070622
4440577,4440576
12451344,12451315
9929699,9929704
5321753,5321757
13798090,13798700
3270498,3270487
5790312,5790269
6311794,6311799
6928467,6928316
5337360,5337237
9319363,9319346
326291,326258
11473384,11473383
10896652,10896648
12739225,12739221
4092074,4092102
807201,807190
4567615,4567622
12749312,13196951
2635854,2635847
11642622,11642633
12141716,12141715
2331446,2331456
9731607,9731601
5443325,5443345
5325331,5325325
1191113,1190187
3641283,3641242
11481066,11481069
4993734,4993739
2276985,2275625
5713570,5713566
13704810,13704748
10151063,10151062
5895863,5895987
2715566,2715263
4255537,4255450
4362340,4362377
12374300,12374254
1575055,1575057
4879274,4879366
5602231,5602304
4745047,4745053
5496009,5496016
13817052,13816992
3581561,3581550
3335739,3333335
1721796,1721834
4780249,4780252
6986925,6986927
8093796,8093783
5035594,5035531
7951872,7956647
13747926,13748312
4272258,4272863
13461607,13461569
4715907,4715904
6607451,6607379
13659822,13660422
1399172,1399202
4382857,4382862
6317442,6317441
2775407,2775409
4603103,4603160
3666122,3666197
4635865,4635761
6523655,6523643
13581017,13581123
6405984,6405934
6241504,6241523
11310161,11310157
10526627,10526652
11731731,11731727
13830458,13830477
4799073,4799054
6398629,6398076
4584097,4584099
3518396,3518325
4666926,4666918
5679352,5679347
4775488,4775460
13612806,13612862
3952016,3951991
10097694,10098129
6522892,6463697
4757996,4758003
3295819,3294607
4611303,4611328
4420740,4420733
5606570,5606579
2565139,2565135
10815443,10815438
13767243,13767270
13568712,13568709
4751108,4731547
3760426,3760394
13637501,13637463
5331999,5331859
3495983,3495980
2333691,2333690
4816762,4816716
10804682,10804640
11929172,11929176
4494555,4494575
3644139,3643613
4000749,4000750
12295847,12295839
2451532,2451537
4574505,4574491
3865297,3865308
6525936,6525938
11900957,11900960
8208335,8208340
3329669,3329665
10186255,10186253
13875300,13874434
12992111,12992112
3877862,3877810
5832724,5832840
12374240,12374181
5886529,5886512
10791198,10791185
3476372,3476388
4356541,4356453
13182587,13182589
13943598,13943587
3336453,3336530
2568597,2568634
8107980,8107978
5728731,5728725
3454230,3454201
3539687,3539684
9416653,9416654
6277491,6277496
3607060,3607065
2232524,2232517
13797765,13797827
10828865,10828868
3002650,3002990
1647555,1647558
4985719,4985717
3928997,3928989
4662285,4662287
3476998,3477019
10676901,10676892
11506678,11532153
3759534,3759489
4754543,4754526
6555234,6555215
10843057,10843048
4736806,4736802
3440062,3440101
4381120,4381139
12370627,12370936
4670357,4670341
5631464,5631423
9255392,9255401
13637774,13635804
12216600,12217858
1948409,1948416
13802011,13802019
3617806,3617784
13861798,13861792
13966301,13966310
3026142,3026100
6647351,6647358
10677949,10677947
5565943,5565946
10457298,10457424
5871444,5871519
2617397,2617398
3445277,3445291
3436249,3436101
6422331,6422355
4596434,4596432
5762437,5762431
13779046,13779178
11856178,11856174
10263868,10263714
13930870,13930888
3492529,3492521
2330780,2331019
13514291,13514251
2382284,2382286
5855378,5855413
2662140,2579038
4340362,4340367
12347260,12347249
4757431,4757423
5074840,5074830
5414112,5414001
13050545,13050538
11809424,11809436
4665559,4665551
10079674,10079714
3662936,3662926
2368988,2368978
6289691,6289667
2977263,2977269
13981148,13981031
1708210,1708211
13733053,13733067
3686431,3686419
5691907,5691890
4471738,3774674
4102049,4102040
3615579,3615582
6291007,6291008
13393980,13393976
2392488,2390000
4165078,4165045
3889444,3889473
7152999,7153028
5982991,5982973
4674145,4674144
13735219,13735225
3463175,3482439
2058279,2055879
2712946,2713019
13938804,13938796
4251097,4251118
6066931,6066947
3445698,3445691
1759031,1749408
2019432,2019421
3999312,3999316
4573999,4573988
3593827,3593807
4687920,4687917
10107248,10107243
2675232,2675224
13759884,13759874
5329051,5329057
4651343,4649464
13849263,13849209
13788543,13788553
405301,405298
9864179,9864177
4753093,4753131
3686947,3686957
13750733,13750713
11472972,11472971
12491298,12491297
11795848,11795816
13621861,13621838
10567078,10567074
3832609,3832428
4514481,4514537
3799677,3799060
1648019,1647709
13618025,13602957
4677063,4677083
10043831,10043833
13762805,13762822
3537826,3537747
11486723,11486727
683824,683828
5889664,5889663
4767217,4782127
11919808,11919811
9305764,9305761
13856228,13856227
5443141,5442004
5392231,5392244
4958488,4958731
8117698,8117673
5300136,5298280
11318656,11318650
13866983,13867036
5680559,5680563
3761934,3761919
13834683,13834712
11432477,11432337
6111796,6111756
9965152,9965151
13897393,13897399
8257491,8257494
6268994,6269019
4333057,4333049
4203604,4203599
10390039,10390028
13761414,13761458
4725145,4725129
5404858,5404807
110141,110138
12182959,12182960
13569690,13569506
1711071,1711072
8769982,8769981
5033688,5033697
1817209,1817212
13758536,13758506
2003806,2003819
13902081,13902089
13918709,13918747
4728651,4746855
6460136,6460139
13838754,13838796
6545391,6545376
13959371,13959368
13744067,13744061
13726620,13726651
1660367,1660356
13902619,13903265
5741216,5741285
371190,371192
13380657,13380655
4541797,4541803
4376725,4376748
9919742,9919740
2040450,2040291
3811873,3811870
1774249,1774286
13721307,13721416
5714612,5714610
6223703,6225094
9371472,9371406
13846123,13846100
11129783,11129773
4419974,4419964
6623532,6623518
5472166,5472157
4478038,4478078
11557099,11557100
12978026,12978019
3878828,3878823
13722622,13722610
10774907,10774960
4110508,4110503
8817826,8817831
12480968,12480967
8859256,9175839
4276126,4276154
3476115,3476154
5514349,5514350
117722,117713
4526786,4526875
3740070,3740033
6718937,6718939
13565379,13565232
3057418,3057624
3970470,3970432
5587317,5587319
10834249,10834196
5032449,5032452
4985065,4984909
13805116,13805099
10870762,10870547
2242037,2242034
10553445,10553455
13350737,13350743
13555458,13555487
12461756,12461770
6422123,6422122
6345242,6345252
3605714,3605697
5939057,5939075
13686892,13686893
11620991,11621025
10543752,10543749
4695527,4695528
4624477,4624480
5471588,5471591
1095149,1095156
1752409,1752419
4985687,4985389
4462309,4462243
4655596,4655593
